,DPCP_AA_Rise (RNA),DPCP_AC_Rise (RNA),DPCP_AG_Rise (RNA),DPCP_AT_Rise (RNA),DPCP_CA_Rise (RNA),DPCP_CC_Rise (RNA),DPCP_CG_Rise (RNA),DPCP_CT_Rise (RNA),DPCP_GA_Rise (RNA),DPCP_GC_Rise (RNA),DPCP_GG_Rise (RNA),DPCP_GT_Rise (RNA),DPCP_TA_Rise (RNA),DPCP_TC_Rise (RNA),DPCP_TG_Rise (RNA),DPCP_TT_Rise (RNA),DPCP_AA_Roll (RNA),DPCP_AC_Roll (RNA),DPCP_AG_Roll (RNA),DPCP_AT_Roll (RNA),DPCP_CA_Roll (RNA),DPCP_CC_Roll (RNA),DPCP_CG_Roll (RNA),DPCP_CT_Roll (RNA),DPCP_GA_Roll (RNA),DPCP_GC_Roll (RNA),DPCP_GG_Roll (RNA),DPCP_GT_Roll (RNA),DPCP_TA_Roll (RNA),DPCP_TC_Roll (RNA),DPCP_TG_Roll (RNA),DPCP_TT_Roll (RNA),DPCP_AA_Shift (RNA),DPCP_AC_Shift (RNA),DPCP_AG_Shift (RNA),DPCP_AT_Shift (RNA),DPCP_CA_Shift (RNA),DPCP_CC_Shift (RNA),DPCP_CG_Shift (RNA),DPCP_CT_Shift (RNA),DPCP_GA_Shift (RNA),DPCP_GC_Shift (RNA),DPCP_GG_Shift (RNA),DPCP_GT_Shift (RNA),DPCP_TA_Shift (RNA),DPCP_TC_Shift (RNA),DPCP_TG_Shift (RNA),DPCP_TT_Shift (RNA),DPCP_AA_Slide (RNA),DPCP_AC_Slide (RNA),DPCP_AG_Slide (RNA),DPCP_AT_Slide (RNA),DPCP_CA_Slide (RNA),DPCP_CC_Slide (RNA),DPCP_CG_Slide (RNA),DPCP_CT_Slide (RNA),DPCP_GA_Slide (RNA),DPCP_GC_Slide (RNA),DPCP_GG_Slide (RNA),DPCP_GT_Slide (RNA),DPCP_TA_Slide (RNA),DPCP_TC_Slide (RNA),DPCP_TG_Slide (RNA),DPCP_TT_Slide (RNA),DPCP_AA_Tilt (RNA),DPCP_AC_Tilt (RNA),DPCP_AG_Tilt (RNA),DPCP_AT_Tilt (RNA),DPCP_CA_Tilt (RNA),DPCP_CC_Tilt (RNA),DPCP_CG_Tilt (RNA),DPCP_CT_Tilt (RNA),DPCP_GA_Tilt (RNA),DPCP_GC_Tilt (RNA),DPCP_GG_Tilt (RNA),DPCP_GT_Tilt (RNA),DPCP_TA_Tilt (RNA),DPCP_TC_Tilt (RNA),DPCP_TG_Tilt (RNA),DPCP_TT_Tilt (RNA),DPCP_AA_Twist (RNA),DPCP_AC_Twist (RNA),DPCP_AG_Twist (RNA),DPCP_AT_Twist (RNA),DPCP_CA_Twist (RNA),DPCP_CC_Twist (RNA),DPCP_CG_Twist (RNA),DPCP_CT_Twist (RNA),DPCP_GA_Twist (RNA),DPCP_GC_Twist (RNA),DPCP_GG_Twist (RNA),DPCP_GT_Twist (RNA),DPCP_TA_Twist (RNA),DPCP_TC_Twist (RNA),DPCP_TG_Twist (RNA),DPCP_TT_Twist (RNA)
A1_61,0.5724,0.12960000000000002,0.19799999999999998,0.25920000000000004,0.18539999999999998,0.332,0.0,0.132,0.338,0.0644,0.1328,0.19440000000000002,0.1304,0.1352,0.309,0.1272,1.26,0.192,0.51,0.568,0.594,0.87,0.0,0.34,0.9400000000000001,0.122,0.484,0.288,0.428,0.376,0.9900000000000001,0.28,-0.0144,0.0092,-0.0024,-0.0048,0.0066,-0.001,0.0,-0.0016,0.007000000000000001,0.0014000000000000002,-0.0004,0.0138,-0.0008,0.0028000000000000004,0.011000000000000001,-0.0032,-0.2286,-0.0572,-0.09,-0.10880000000000001,-0.0876,-0.17800000000000002,-0.0,-0.06,-0.17,-0.0278,-0.0712,-0.08579999999999999,-0.057999999999999996,-0.068,-0.146,-0.050800000000000005,-0.144,0.032,0.03,0.08800000000000001,0.06,0.03,-0.0,0.02,0.13,0.0,0.012,0.048,-0.008,0.052000000000000005,0.1,-0.032,5.58,1.28,1.7999999999999998,2.64,1.8599999999999999,3.2,0.0,1.2,3.2,0.7000000000000001,1.28,1.92,1.28,1.28,3.1,1.24
A1_62,0.6360000000000001,0.12960000000000002,0.19799999999999998,0.25920000000000004,0.18539999999999998,0.332,0.0,0.132,0.338,0.0644,0.1328,0.12960000000000002,0.1304,0.1352,0.309,0.1272,1.4000000000000001,0.192,0.51,0.568,0.594,0.87,0.0,0.34,0.9400000000000001,0.122,0.484,0.192,0.428,0.376,0.9900000000000001,0.28,-0.016,0.0092,-0.0024,-0.0048,0.0066,-0.001,0.0,-0.0016,0.007000000000000001,0.0014000000000000002,-0.0004,0.0092,-0.0008,0.0028000000000000004,0.011000000000000001,-0.0032,-0.254,-0.0572,-0.09,-0.10880000000000001,-0.0876,-0.17800000000000002,-0.0,-0.06,-0.17,-0.0278,-0.0712,-0.0572,-0.057999999999999996,-0.068,-0.146,-0.050800000000000005,-0.16000000000000003,0.032,0.03,0.08800000000000001,0.06,0.03,-0.0,0.02,0.13,0.0,0.012,0.032,-0.008,0.052000000000000005,0.1,-0.032,6.2,1.28,1.7999999999999998,2.64,1.8599999999999999,3.2,0.0,1.2,3.2,0.7000000000000001,1.28,1.28,1.28,1.28,3.1,1.24
A1_63,0.6360000000000001,0.12960000000000002,0.264,0.25920000000000004,0.18539999999999998,0.332,0.0,0.132,0.338,0.0644,0.1328,0.12960000000000002,0.0652,0.1352,0.309,0.1272,1.4000000000000001,0.192,0.68,0.568,0.594,0.87,0.0,0.34,0.9400000000000001,0.122,0.484,0.192,0.214,0.376,0.9900000000000001,0.28,-0.016,0.0092,-0.0032,-0.0048,0.0066,-0.001,0.0,-0.0016,0.007000000000000001,0.0014000000000000002,-0.0004,0.0092,-0.0004,0.0028000000000000004,0.011000000000000001,-0.0032,-0.254,-0.0572,-0.12,-0.10880000000000001,-0.0876,-0.17800000000000002,-0.0,-0.06,-0.17,-0.0278,-0.0712,-0.0572,-0.028999999999999998,-0.068,-0.146,-0.050800000000000005,-0.16000000000000003,0.032,0.04,0.08800000000000001,0.06,0.03,-0.0,0.02,0.13,0.0,0.012,0.032,-0.004,0.052000000000000005,0.1,-0.032,6.2,1.28,2.4,2.64,1.8599999999999999,3.2,0.0,1.2,3.2,0.7000000000000001,1.28,1.28,0.64,1.28,3.1,1.24
A1_64,0.5724,0.12960000000000002,0.264,0.25920000000000004,0.18539999999999998,0.332,0.0,0.132,0.338,0.0644,0.1328,0.19440000000000002,0.0652,0.1352,0.309,0.1272,1.26,0.192,0.68,0.568,0.594,0.87,0.0,0.34,0.9400000000000001,0.122,0.484,0.288,0.214,0.376,0.9900000000000001,0.28,-0.0144,0.0092,-0.0032,-0.0048,0.0066,-0.001,0.0,-0.0016,0.007000000000000001,0.0014000000000000002,-0.0004,0.0138,-0.0004,0.0028000000000000004,0.011000000000000001,-0.0032,-0.2286,-0.0572,-0.12,-0.10880000000000001,-0.0876,-0.17800000000000002,-0.0,-0.06,-0.17,-0.0278,-0.0712,-0.08579999999999999,-0.028999999999999998,-0.068,-0.146,-0.050800000000000005,-0.144,0.032,0.04,0.08800000000000001,0.06,0.03,-0.0,0.02,0.13,0.0,0.012,0.048,-0.004,0.052000000000000005,0.1,-0.032,5.58,1.28,2.4,2.64,1.8599999999999999,3.2,0.0,1.2,3.2,0.7000000000000001,1.28,1.92,0.64,1.28,3.1,1.24
A1_70,0.6996,0.12960000000000002,0.264,0.25920000000000004,0.18539999999999998,0.0664,0.0,0.066,0.40559999999999996,0.0644,0.1992,0.19440000000000002,0.0652,0.1352,0.37079999999999996,0.1272,1.54,0.192,0.68,0.568,0.594,0.174,0.0,0.17,1.128,0.122,0.726,0.288,0.214,0.376,1.188,0.28,-0.0176,0.0092,-0.0032,-0.0048,0.0066,-0.0002,0.0,-0.0008,0.008400000000000001,0.0014000000000000002,-0.0006,0.0138,-0.0004,0.0028000000000000004,0.0132,-0.0032,-0.2794,-0.0572,-0.12,-0.10880000000000001,-0.0876,-0.0356,-0.0,-0.03,-0.204,-0.0278,-0.10679999999999999,-0.08579999999999999,-0.028999999999999998,-0.068,-0.1752,-0.050800000000000005,-0.17600000000000002,0.032,0.04,0.08800000000000001,0.06,0.006,-0.0,0.01,0.156,0.0,0.018,0.048,-0.004,0.052000000000000005,0.12,-0.032,6.82,1.28,2.4,2.64,1.8599999999999999,0.64,0.0,0.6,3.84,0.7000000000000001,1.92,1.92,0.64,1.28,3.7199999999999998,1.24
A1_73,0.6996,0.12960000000000002,0.264,0.19440000000000002,0.18539999999999998,0.1328,0.0,0.132,0.40559999999999996,0.0644,0.1992,0.19440000000000002,0.0,0.20279999999999998,0.37079999999999996,0.0636,1.54,0.192,0.68,0.426,0.594,0.348,0.0,0.34,1.128,0.122,0.726,0.288,0.0,0.564,1.188,0.14,-0.0176,0.0092,-0.0032,-0.0036,0.0066,-0.0004,0.0,-0.0016,0.008400000000000001,0.0014000000000000002,-0.0006,0.0138,-0.0,0.004200000000000001,0.0132,-0.0016,-0.2794,-0.0572,-0.12,-0.0816,-0.0876,-0.0712,-0.0,-0.06,-0.204,-0.0278,-0.10679999999999999,-0.08579999999999999,-0.0,-0.102,-0.1752,-0.025400000000000002,-0.17600000000000002,0.032,0.04,0.066,0.06,0.012,-0.0,0.02,0.156,0.0,0.018,0.048,-0.0,0.078,0.12,-0.016,6.82,1.28,2.4,1.98,1.8599999999999999,1.28,0.0,1.2,3.84,0.7000000000000001,1.92,1.92,0.0,1.92,3.7199999999999998,0.62
A1_77,0.6996,0.19440000000000002,0.264,0.12960000000000002,0.18539999999999998,0.1328,0.0,0.19799999999999998,0.40559999999999996,0.0644,0.1992,0.19440000000000002,0.0,0.20279999999999998,0.37079999999999996,0.0,1.54,0.288,0.68,0.284,0.594,0.348,0.0,0.51,1.128,0.122,0.726,0.288,0.0,0.564,1.188,0.0,-0.0176,0.0138,-0.0032,-0.0024,0.0066,-0.0004,0.0,-0.0024,0.008400000000000001,0.0014000000000000002,-0.0006,0.0138,-0.0,0.004200000000000001,0.0132,-0.0,-0.2794,-0.08579999999999999,-0.12,-0.054400000000000004,-0.0876,-0.0712,-0.0,-0.09,-0.204,-0.0278,-0.10679999999999999,-0.08579999999999999,-0.0,-0.102,-0.1752,-0.0,-0.17600000000000002,0.048,0.04,0.044000000000000004,0.06,0.012,-0.0,0.03,0.156,0.0,0.018,0.048,-0.0,0.078,0.12,-0.0,6.82,1.92,2.4,1.32,1.8599999999999999,1.28,0.0,1.7999999999999998,3.84,0.7000000000000001,1.92,1.92,0.0,1.92,3.7199999999999998,0.0
A1_79,0.6996,0.25920000000000004,0.264,0.12960000000000002,0.2472,0.1328,0.0,0.19799999999999998,0.40559999999999996,0.0644,0.1992,0.12960000000000002,0.0,0.20279999999999998,0.309,0.0,1.54,0.384,0.68,0.284,0.792,0.348,0.0,0.51,1.128,0.122,0.726,0.192,0.0,0.564,0.9900000000000001,0.0,-0.0176,0.0184,-0.0032,-0.0024,0.0088,-0.0004,0.0,-0.0024,0.008400000000000001,0.0014000000000000002,-0.0006,0.0092,-0.0,0.004200000000000001,0.011000000000000001,-0.0,-0.2794,-0.1144,-0.12,-0.054400000000000004,-0.1168,-0.0712,-0.0,-0.09,-0.204,-0.0278,-0.10679999999999999,-0.0572,-0.0,-0.102,-0.146,-0.0,-0.17600000000000002,0.064,0.04,0.044000000000000004,0.08,0.012,-0.0,0.03,0.156,0.0,0.018,0.032,-0.0,0.078,0.1,-0.0,6.82,2.56,2.4,1.32,2.48,1.28,0.0,1.7999999999999998,3.84,0.7000000000000001,1.92,1.28,0.0,1.92,3.1,0.0
A1_80,0.6996,0.25920000000000004,0.264,0.12960000000000002,0.2472,0.1992,0.0,0.19799999999999998,0.40559999999999996,0.0644,0.1992,0.12960000000000002,0.0,0.20279999999999998,0.2472,0.0,1.54,0.384,0.68,0.284,0.792,0.5219999999999999,0.0,0.51,1.128,0.122,0.726,0.192,0.0,0.564,0.792,0.0,-0.0176,0.0184,-0.0032,-0.0024,0.0088,-0.0006,0.0,-0.0024,0.008400000000000001,0.0014000000000000002,-0.0006,0.0092,-0.0,0.004200000000000001,0.0088,-0.0,-0.2794,-0.1144,-0.12,-0.054400000000000004,-0.1168,-0.10679999999999999,-0.0,-0.09,-0.204,-0.0278,-0.10679999999999999,-0.0572,-0.0,-0.102,-0.1168,-0.0,-0.17600000000000002,0.064,0.04,0.044000000000000004,0.08,0.018,-0.0,0.03,0.156,0.0,0.018,0.032,-0.0,0.078,0.08,-0.0,6.82,2.56,2.4,1.32,2.48,1.92,0.0,1.7999999999999998,3.84,0.7000000000000001,1.92,1.28,0.0,1.92,2.48,0.0
A1_81,0.6996,0.25920000000000004,0.264,0.12960000000000002,0.2472,0.2656,0.0,0.19799999999999998,0.338,0.0644,0.1992,0.12960000000000002,0.0,0.20279999999999998,0.2472,0.0,1.54,0.384,0.68,0.284,0.792,0.696,0.0,0.51,0.9400000000000001,0.122,0.726,0.192,0.0,0.564,0.792,0.0,-0.0176,0.0184,-0.0032,-0.0024,0.0088,-0.0008,0.0,-0.0024,0.007000000000000001,0.0014000000000000002,-0.0006,0.0092,-0.0,0.004200000000000001,0.0088,-0.0,-0.2794,-0.1144,-0.12,-0.054400000000000004,-0.1168,-0.1424,-0.0,-0.09,-0.17,-0.0278,-0.10679999999999999,-0.0572,-0.0,-0.102,-0.1168,-0.0,-0.17600000000000002,0.064,0.04,0.044000000000000004,0.08,0.024,-0.0,0.03,0.13,0.0,0.018,0.032,-0.0,0.078,0.08,-0.0,6.82,2.56,2.4,1.32,2.48,2.56,0.0,1.7999999999999998,3.2,0.7000000000000001,1.92,1.28,0.0,1.92,2.48,0.0
A1_86,0.5088,0.25920000000000004,0.19799999999999998,0.12960000000000002,0.2472,0.332,0.0,0.33,0.2704,0.0644,0.1992,0.12960000000000002,0.0,0.2704,0.309,0.0,1.12,0.384,0.51,0.284,0.792,0.87,0.0,0.8500000000000001,0.752,0.122,0.726,0.192,0.0,0.752,0.9900000000000001,0.0,-0.0128,0.0184,-0.0024,-0.0024,0.0088,-0.001,0.0,-0.004,0.005600000000000001,0.0014000000000000002,-0.0006,0.0092,-0.0,0.005600000000000001,0.011000000000000001,-0.0,-0.20320000000000002,-0.1144,-0.09,-0.054400000000000004,-0.1168,-0.17800000000000002,-0.0,-0.15000000000000002,-0.136,-0.0278,-0.10679999999999999,-0.0572,-0.0,-0.136,-0.146,-0.0,-0.128,0.064,0.03,0.044000000000000004,0.08,0.03,-0.0,0.05,0.10400000000000001,0.0,0.018,0.032,-0.0,0.10400000000000001,0.1,-0.0,4.96,2.56,1.7999999999999998,1.32,2.48,3.2,0.0,3.0,2.56,0.7000000000000001,1.92,1.28,0.0,2.56,3.1,0.0
A1_87,0.44520000000000004,0.25920000000000004,0.19799999999999998,0.12960000000000002,0.2472,0.332,0.0,0.33,0.2704,0.1288,0.1992,0.12960000000000002,0.0,0.2704,0.309,0.0,0.9800000000000001,0.384,0.51,0.284,0.792,0.87,0.0,0.8500000000000001,0.752,0.244,0.726,0.192,0.0,0.752,0.9900000000000001,0.0,-0.011200000000000002,0.0184,-0.0024,-0.0024,0.0088,-0.001,0.0,-0.004,0.005600000000000001,0.0028000000000000004,-0.0006,0.0092,-0.0,0.005600000000000001,0.011000000000000001,-0.0,-0.1778,-0.1144,-0.09,-0.054400000000000004,-0.1168,-0.17800000000000002,-0.0,-0.15000000000000002,-0.136,-0.0556,-0.10679999999999999,-0.0572,-0.0,-0.136,-0.146,-0.0,-0.11200000000000002,0.064,0.03,0.044000000000000004,0.08,0.03,-0.0,0.05,0.10400000000000001,0.0,0.018,0.032,-0.0,0.10400000000000001,0.1,-0.0,4.340000000000001,2.56,1.7999999999999998,1.32,2.48,3.2,0.0,3.0,2.56,1.4000000000000001,1.92,1.28,0.0,2.56,3.1,0.0
A1_92,0.5088,0.19440000000000002,0.19799999999999998,0.12960000000000002,0.309,0.3984,0.0,0.264,0.2704,0.1288,0.1992,0.12960000000000002,0.0,0.2704,0.2472,0.0,1.12,0.288,0.51,0.284,0.9900000000000001,1.0439999999999998,0.0,0.68,0.752,0.244,0.726,0.192,0.0,0.752,0.792,0.0,-0.0128,0.0138,-0.0024,-0.0024,0.011000000000000001,-0.0012,0.0,-0.0032,0.005600000000000001,0.0028000000000000004,-0.0006,0.0092,-0.0,0.005600000000000001,0.0088,-0.0,-0.20320000000000002,-0.08579999999999999,-0.09,-0.054400000000000004,-0.146,-0.21359999999999998,-0.0,-0.12,-0.136,-0.0556,-0.10679999999999999,-0.0572,-0.0,-0.136,-0.1168,-0.0,-0.128,0.048,0.03,0.044000000000000004,0.1,0.036,-0.0,0.04,0.10400000000000001,0.0,0.018,0.032,-0.0,0.10400000000000001,0.08,-0.0,4.96,1.92,1.7999999999999998,1.32,3.1,3.84,0.0,2.4,2.56,1.4000000000000001,1.92,1.28,0.0,2.56,2.48,0.0
A1_93,0.5088,0.19440000000000002,0.19799999999999998,0.19440000000000002,0.309,0.3984,0.0,0.264,0.2704,0.1288,0.1992,0.06480000000000001,0.0,0.2704,0.2472,0.0,1.12,0.288,0.51,0.426,0.9900000000000001,1.0439999999999998,0.0,0.68,0.752,0.244,0.726,0.096,0.0,0.752,0.792,0.0,-0.0128,0.0138,-0.0024,-0.0036,0.011000000000000001,-0.0012,0.0,-0.0032,0.005600000000000001,0.0028000000000000004,-0.0006,0.0046,-0.0,0.005600000000000001,0.0088,-0.0,-0.20320000000000002,-0.08579999999999999,-0.09,-0.0816,-0.146,-0.21359999999999998,-0.0,-0.12,-0.136,-0.0556,-0.10679999999999999,-0.0286,-0.0,-0.136,-0.1168,-0.0,-0.128,0.048,0.03,0.066,0.1,0.036,-0.0,0.04,0.10400000000000001,0.0,0.018,0.016,-0.0,0.10400000000000001,0.08,-0.0,4.96,1.92,1.7999999999999998,1.98,3.1,3.84,0.0,2.4,2.56,1.4000000000000001,1.92,0.64,0.0,2.56,2.48,0.0
A1_94,0.5088,0.19440000000000002,0.19799999999999998,0.19440000000000002,0.309,0.3984,0.0,0.264,0.2704,0.1288,0.1992,0.06480000000000001,0.0652,0.20279999999999998,0.2472,0.0,1.12,0.288,0.51,0.426,0.9900000000000001,1.0439999999999998,0.0,0.68,0.752,0.244,0.726,0.096,0.214,0.564,0.792,0.0,-0.0128,0.0138,-0.0024,-0.0036,0.011000000000000001,-0.0012,0.0,-0.0032,0.005600000000000001,0.0028000000000000004,-0.0006,0.0046,-0.0004,0.004200000000000001,0.0088,-0.0,-0.20320000000000002,-0.08579999999999999,-0.09,-0.0816,-0.146,-0.21359999999999998,-0.0,-0.12,-0.136,-0.0556,-0.10679999999999999,-0.0286,-0.028999999999999998,-0.102,-0.1168,-0.0,-0.128,0.048,0.03,0.066,0.1,0.036,-0.0,0.04,0.10400000000000001,0.0,0.018,0.016,-0.004,0.078,0.08,-0.0,4.96,1.92,1.7999999999999998,1.98,3.1,3.84,0.0,2.4,2.56,1.4000000000000001,1.92,0.64,0.64,1.92,2.48,0.0
A1_101,0.5724,0.19440000000000002,0.33,0.06480000000000001,0.18539999999999998,0.3984,0.0,0.264,0.2704,0.1288,0.1328,0.19440000000000002,0.19559999999999997,0.1352,0.18539999999999998,0.0,1.26,0.288,0.8500000000000001,0.142,0.594,1.0439999999999998,0.0,0.68,0.752,0.244,0.484,0.288,0.6419999999999999,0.376,0.594,0.0,-0.0144,0.0138,-0.004,-0.0012,0.0066,-0.0012,0.0,-0.0032,0.005600000000000001,0.0028000000000000004,-0.0004,0.0138,-0.0012,0.0028000000000000004,0.0066,-0.0,-0.2286,-0.08579999999999999,-0.15000000000000002,-0.027200000000000002,-0.0876,-0.21359999999999998,-0.0,-0.12,-0.136,-0.0556,-0.0712,-0.08579999999999999,-0.087,-0.068,-0.0876,-0.0,-0.144,0.048,0.05,0.022000000000000002,0.06,0.036,-0.0,0.04,0.10400000000000001,0.0,0.012,0.048,-0.012,0.052000000000000005,0.06,-0.0,5.58,1.92,3.0,0.66,1.8599999999999999,3.84,0.0,2.4,2.56,1.4000000000000001,1.28,1.92,1.92,1.28,1.8599999999999999,0.0
A1_103,0.6996,0.19440000000000002,0.264,0.06480000000000001,0.18539999999999998,0.3984,0.0,0.264,0.20279999999999998,0.1288,0.1328,0.19440000000000002,0.19559999999999997,0.1352,0.18539999999999998,0.0,1.54,0.288,0.68,0.142,0.594,1.0439999999999998,0.0,0.68,0.564,0.244,0.484,0.288,0.6419999999999999,0.376,0.594,0.0,-0.0176,0.0138,-0.0032,-0.0012,0.0066,-0.0012,0.0,-0.0032,0.004200000000000001,0.0028000000000000004,-0.0004,0.0138,-0.0012,0.0028000000000000004,0.0066,-0.0,-0.2794,-0.08579999999999999,-0.12,-0.027200000000000002,-0.0876,-0.21359999999999998,-0.0,-0.12,-0.102,-0.0556,-0.0712,-0.08579999999999999,-0.087,-0.068,-0.0876,-0.0,-0.17600000000000002,0.048,0.04,0.022000000000000002,0.06,0.036,-0.0,0.04,0.078,0.0,0.012,0.048,-0.012,0.052000000000000005,0.06,-0.0,6.82,1.92,2.4,0.66,1.8599999999999999,3.84,0.0,2.4,1.92,1.4000000000000001,1.28,1.92,1.92,1.28,1.8599999999999999,0.0
A1_114,0.7632,0.25920000000000004,0.132,0.19440000000000002,0.18539999999999998,0.332,0.0,0.264,0.1352,0.0644,0.0664,0.12960000000000002,0.2608,0.1352,0.2472,0.0636,1.68,0.384,0.34,0.426,0.594,0.87,0.0,0.68,0.376,0.122,0.242,0.192,0.856,0.376,0.792,0.14,-0.0192,0.0184,-0.0016,-0.0036,0.0066,-0.001,0.0,-0.0032,0.0028000000000000004,0.0014000000000000002,-0.0002,0.0092,-0.0016,0.0028000000000000004,0.0088,-0.0016,-0.3048,-0.1144,-0.06,-0.0816,-0.0876,-0.17800000000000002,-0.0,-0.12,-0.068,-0.0278,-0.0356,-0.0572,-0.11599999999999999,-0.068,-0.1168,-0.025400000000000002,-0.192,0.064,0.02,0.066,0.06,0.03,-0.0,0.04,0.052000000000000005,0.0,0.006,0.032,-0.016,0.052000000000000005,0.08,-0.016,7.4399999999999995,2.56,1.2,1.98,1.8599999999999999,3.2,0.0,2.4,1.28,0.7000000000000001,0.64,1.28,2.56,1.28,2.48,0.62
A1_115,0.7632,0.25920000000000004,0.132,0.19440000000000002,0.18539999999999998,0.332,0.0,0.264,0.1352,0.0644,0.0664,0.19440000000000002,0.2608,0.1352,0.18539999999999998,0.0636,1.68,0.384,0.34,0.426,0.594,0.87,0.0,0.68,0.376,0.122,0.242,0.288,0.856,0.376,0.594,0.14,-0.0192,0.0184,-0.0016,-0.0036,0.0066,-0.001,0.0,-0.0032,0.0028000000000000004,0.0014000000000000002,-0.0002,0.0138,-0.0016,0.0028000000000000004,0.0066,-0.0016,-0.3048,-0.1144,-0.06,-0.0816,-0.0876,-0.17800000000000002,-0.0,-0.12,-0.068,-0.0278,-0.0356,-0.08579999999999999,-0.11599999999999999,-0.068,-0.0876,-0.025400000000000002,-0.192,0.064,0.02,0.066,0.06,0.03,-0.0,0.04,0.052000000000000005,0.0,0.006,0.048,-0.016,0.052000000000000005,0.06,-0.016,7.4399999999999995,2.56,1.2,1.98,1.8599999999999999,3.2,0.0,2.4,1.28,0.7000000000000001,0.64,1.92,2.56,1.28,1.8599999999999999,0.62
A1_116,0.7632,0.25920000000000004,0.132,0.19440000000000002,0.18539999999999998,0.332,0.0,0.264,0.1352,0.0644,0.0,0.19440000000000002,0.326,0.1352,0.18539999999999998,0.0636,1.68,0.384,0.34,0.426,0.594,0.87,0.0,0.68,0.376,0.122,0.0,0.288,1.07,0.376,0.594,0.14,-0.0192,0.0184,-0.0016,-0.0036,0.0066,-0.001,0.0,-0.0032,0.0028000000000000004,0.0014000000000000002,-0.0,0.0138,-0.002,0.0028000000000000004,0.0066,-0.0016,-0.3048,-0.1144,-0.06,-0.0816,-0.0876,-0.17800000000000002,-0.0,-0.12,-0.068,-0.0278,-0.0,-0.08579999999999999,-0.145,-0.068,-0.0876,-0.025400000000000002,-0.192,0.064,0.02,0.066,0.06,0.03,-0.0,0.04,0.052000000000000005,0.0,0.0,0.048,-0.020000000000000004,0.052000000000000005,0.06,-0.016,7.4399999999999995,2.56,1.2,1.98,1.8599999999999999,3.2,0.0,2.4,1.28,0.7000000000000001,0.0,1.92,3.2,1.28,1.8599999999999999,0.62
A1_117,0.7632,0.25920000000000004,0.132,0.25920000000000004,0.18539999999999998,0.332,0.0,0.264,0.0676,0.0644,0.0,0.19440000000000002,0.326,0.1352,0.18539999999999998,0.0636,1.68,0.384,0.34,0.568,0.594,0.87,0.0,0.68,0.188,0.122,0.0,0.288,1.07,0.376,0.594,0.14,-0.0192,0.0184,-0.0016,-0.0048,0.0066,-0.001,0.0,-0.0032,0.0014000000000000002,0.0014000000000000002,-0.0,0.0138,-0.002,0.0028000000000000004,0.0066,-0.0016,-0.3048,-0.1144,-0.06,-0.10880000000000001,-0.0876,-0.17800000000000002,-0.0,-0.12,-0.034,-0.0278,-0.0,-0.08579999999999999,-0.145,-0.068,-0.0876,-0.025400000000000002,-0.192,0.064,0.02,0.08800000000000001,0.06,0.03,-0.0,0.04,0.026000000000000002,0.0,0.0,0.048,-0.020000000000000004,0.052000000000000005,0.06,-0.016,7.4399999999999995,2.56,1.2,2.64,1.8599999999999999,3.2,0.0,2.4,0.64,0.7000000000000001,0.0,1.92,3.2,1.28,1.8599999999999999,0.62
A1_119,0.6360000000000001,0.25920000000000004,0.132,0.25920000000000004,0.18539999999999998,0.3984,0.0,0.264,0.0676,0.0644,0.0,0.19440000000000002,0.326,0.20279999999999998,0.18539999999999998,0.0636,1.4000000000000001,0.384,0.34,0.568,0.594,1.0439999999999998,0.0,0.68,0.188,0.122,0.0,0.288,1.07,0.564,0.594,0.14,-0.016,0.0184,-0.0016,-0.0048,0.0066,-0.0012,0.0,-0.0032,0.0014000000000000002,0.0014000000000000002,-0.0,0.0138,-0.002,0.004200000000000001,0.0066,-0.0016,-0.254,-0.1144,-0.06,-0.10880000000000001,-0.0876,-0.21359999999999998,-0.0,-0.12,-0.034,-0.0278,-0.0,-0.08579999999999999,-0.145,-0.102,-0.0876,-0.025400000000000002,-0.16000000000000003,0.064,0.02,0.08800000000000001,0.06,0.036,-0.0,0.04,0.026000000000000002,0.0,0.0,0.048,-0.020000000000000004,0.078,0.06,-0.016,6.2,2.56,1.2,2.64,1.8599999999999999,3.84,0.0,2.4,0.64,0.7000000000000001,0.0,1.92,3.2,1.92,1.8599999999999999,0.62
A1_122,0.6360000000000001,0.19440000000000002,0.132,0.25920000000000004,0.18539999999999998,0.332,0.0,0.264,0.0676,0.0644,0.0664,0.19440000000000002,0.326,0.20279999999999998,0.2472,0.0636,1.4000000000000001,0.288,0.34,0.568,0.594,0.87,0.0,0.68,0.188,0.122,0.242,0.288,1.07,0.564,0.792,0.14,-0.016,0.0138,-0.0016,-0.0048,0.0066,-0.001,0.0,-0.0032,0.0014000000000000002,0.0014000000000000002,-0.0002,0.0138,-0.002,0.004200000000000001,0.0088,-0.0016,-0.254,-0.08579999999999999,-0.06,-0.10880000000000001,-0.0876,-0.17800000000000002,-0.0,-0.12,-0.034,-0.0278,-0.0356,-0.08579999999999999,-0.145,-0.102,-0.1168,-0.025400000000000002,-0.16000000000000003,0.048,0.02,0.08800000000000001,0.06,0.03,-0.0,0.04,0.026000000000000002,0.0,0.006,0.048,-0.020000000000000004,0.078,0.08,-0.016,6.2,1.92,1.2,2.64,1.8599999999999999,3.2,0.0,2.4,0.64,0.7000000000000001,0.64,1.92,3.2,1.92,2.48,0.62
